timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1735227816745,5,GET /branding/,200,,Guest makes a booking 2-34,text,true,,785,252,2,8,http://localhost:8080/branding/,5,0,1
1735227817820,9,GET /report/room/1,200,,Guest makes a booking 2-33,text,true,,3362,256,2,8,http://localhost:8080/report/room/1,9,0,0
1735227817829,32,POST /booking/,201,,Guest makes a booking 2-33,text,true,,392,546,2,8,http://localhost:8080/booking/,32,0,0
1735227818007,4,GET /room/,200,,Guest makes a booking 2-34,text,true,,528,248,1,7,http://localhost:8080/room/,4,0,0
1735227818251,9,POST /auth/validate,200,,Admin makes a booking 1-32,,true,,133,344,6,7,http://localhost:8080/auth/validate,9,0,0
1735227818260,4,GET /message/count,200,,Admin makes a booking 1-32,text,true,,224,288,6,7,http://localhost:8080/message/count,4,0,0
1735227819324,21,POST /auth/validate,200,,Admin makes a booking 1-33,,true,,133,344,6,7,http://localhost:8080/auth/validate,21,0,0
1735227819345,4,GET /message/count,200,,Admin makes a booking 1-33,text,true,,224,288,6,7,http://localhost:8080/message/count,4,0,0
1735227819497,5,GET /room/,200,,Admin makes a booking 1-32,text,true,,528,280,6,7,http://localhost:8080/room/,5,0,0
1735227819502,30,GET /report/,200,,Admin makes a booking 1-32,text,true,,4129,282,6,7,http://localhost:8080/report/,30,0,0
1735227819732,15,POST /auth/login,200,,Admin makes a booking 1-35,,true,,177,332,7,9,http://localhost:8080/auth/login,15,0,0
1735227819743,6,GET /branding/,200,,Guest makes a booking 2-35,text,true,,785,252,2,9,http://localhost:8080/branding/,6,0,0
1735227820304,31,POST /booking/,201,,Admin makes a booking 1-30,text,true,,393,579,7,9,http://localhost:8080/booking/,31,0,0
1735227820606,39,POST /booking/,201,,Admin makes a booking 1-29,text,true,,394,581,6,8,http://localhost:8080/booking/,39,0,0
1735227820846,4,GET /room/,200,,Guest makes a booking 2-35,text,true,,528,248,2,7,http://localhost:8080/room/,4,0,0
1735227820982,10,GET /report/room/1,200,,Guest makes a booking 2-34,text,true,,3554,256,2,7,http://localhost:8080/report/room/1,9,0,0
1735227820992,25,POST /booking/,201,,Guest makes a booking 2-34,text,true,,390,541,2,7,http://localhost:8080/booking/,25,0,0
